# comparison of averages for iozone measured throughput[MB/s] for any FS and any BS. Open it with: LC_ALL=en_US.UTF-8
# Read this file into Open Office  with command oocalc <filename>
# Read this file into language R with command data <- read.delim("<filename>",comment.char = "#")
Operation	iwrite baseline	iwrite set1	rewrite baseline	rewrite set1	iread baseline	iread set1	reread baseline	reread set1	randrd baseline	randrd set1	randwr baseline	randwr set1	bkwdrd baseline	bkwdrd set1	recrewr baseline	recrewr set1	striderd baseline	striderd set1	fwrite baseline	fwrite set1	frewrite baseline	frewrite set1	fread baseline	fread set1	freread baseline	freread set1
Filesize[kB] = 512 Block size [kB] = 512	912.65	1102.08	1299.95	1431.23	426.87	465.39	455.83	429.02	514.68	481.46	953.97	872.95	466.23	489.54	1141.34	1397.79	436.2	518.51	1018.71	1270.78	1361.79	1408.38	492.26	480.57	457.01	481.97
Filesize[kB] = 1024 Block size [kB] = 4	719.26	811.26	890.31	942.81	539.09	560.56	529.57	578.4	81.22	82.21	732.85	735.02	79.45	79.57	1247.85	1383.87	80.9	81.37	711.07	748.53	837.1	798.43	500.67	530.59	467.61	540.8
Filesize[kB] = 1024 Block size [kB] = 8	798.97	929.89	1127.25	1079.24	557.33	598.78	519.07	609.99	123.69	116.56	1018.22	961.37	120.08	114.69	1503.92	1895.16	128.48	121.13	815.87	926.82	1004.06	1048.14	533.91	575.22	520.79	574.6
Filesize[kB] = 1024 Block size [kB] = 16	866.33	1035.95	1062.95	1153.9	578.62	641.56	544.08	619.68	205.57	199.3	1119.38	1062.39	201.29	200.83	1956.06	2152.4	211.36	207.71	843.79	959.17	1060.15	1034.39	526.95	587.11	529.27	604.56
Filesize[kB] = 1024 Block size [kB] = 32	912.41	1094.04	1218.4	1263.48	617.36	648.42	583.99	637.52	317.34	316.55	1255.99	1159.88	319.37	314.13	1991.46	2336.13	341.56	338.15	827.68	1012.79	1089.36	1098.08	591.87	607.87	557.21	594.77
Filesize[kB] = 1024 Block size [kB] = 64	883.93	1164.35	1334.18	1194.31	582.58	610.77	568.74	619.2	432.13	429.67	1191.7	1192.3	447.07	417.84	2240.79	2635.21	1830.99	2054.7	910.04	1038.75	1144.28	1141.65	532.98	611.28	561.55	610.24
Filesize[kB] = 1024 Block size [kB] = 128	912.99	1138.08	1258.3	1313.76	523.52	536.74	521.38	530.38	517.11	560.66	1149.76	1221.99	545.54	536.44	1767.72	2560.52	1248.91	1396.59	928.33	1053.29	1157.87	1233.0	572.92	583.91	560.32	630.09
Filesize[kB] = 1024 Block size [kB] = 256	934.58	1112.22	1321.26	1340.33	494.69	538.8	514.28	540.54	588.32	584.2	1164.82	1139.87	533.1	547.19	1508.5	2473.75	1296.54	1198.93	951.91	1157.93	1204.19	1358.64	564.17	584.79	517.51	600.06
Filesize[kB] = 1024 Block size [kB] = 512	933.51	1139.35	1410.27	1241.66	499.9	516.48	503.82	520.78	552.21	587.26	948.24	1099.94	528.61	543.16	1746.86	1736.95	792.02	824.59	1202.33	1230.18	1484.67	1360.73	535.78	560.74	514.27	580.76
Filesize[kB] = 1024 Block size [kB] = 1024	1008.15	1149.67	1347.14	1510.1	457.26	456.89	479.93	466.92	485.45	558.7	827.77	944.22	496.74	526.69	1240.6	1433.47	508.43	515.67	1017.21	1164.15	1245.75	1461.74	495.5	549.23	475.59	535.07
Filesize[kB] = 2048 Block size [kB] = 4	747.75	854.7	957.81	914.99	561.21	615.04	539.16	607.98	81.17	80.01	841.65	819.64	81.04	79.98	1348.14	1571.76	81.44	79.3	689.36	760.84	863.15	904.21	539.76	582.02	529.39	785.75
Filesize[kB] = 2048 Block size [kB] = 8	847.68	969.47	1118.31	1204.3	583.43	642.88	574.63	660.53	125.77	124.41	1002.44	1010.27	128.41	123.84	1703.23	2062.3	130.79	121.27	815.33	896.27	1045.44	1091.86	569.75	610.74	559.07	850.61
Filesize[kB] = 2048 Block size [kB] = 16	867.86	1044.59	1214.1	1290.23	604.1	677.17	589.15	668.31	201.83	203.84	1091.83	1196.23	207.18	201.8	1818.42	2234.45	209.05	207.18	855.24	977.81	1064.33	1136.74	565.99	631.41	578.52	827.47
Filesize[kB] = 2048 Block size [kB] = 32	947.37	1132.23	1215.25	1272.81	597.14	636.78	612.1	665.81	317.97	324.43	1174.4	1217.61	313.91	314.25	2221.74	2483.84	337.56	328.42	879.24	981.7	1108.4	1130.68	584.0	628.86	572.01	787.91
Filesize[kB] = 2048 Block size [kB] = 64	942.35	1139.42	1215.54	1369.18	573.37	651.23	582.52	641.29	434.11	428.84	1179.64	1297.45	446.29	436.32	1953.98	2519.34	462.64	480.28	909.38	989.9	1135.63	1244.05	588.19	662.53	590.37	783.9
Filesize[kB] = 2048 Block size [kB] = 128	942.04	1171.94	1248.42	1378.19	555.53	568.88	553.54	619.55	554.64	563.87	1228.2	1366.7	561.4	567.44	1887.77	2457.64	2048.21	2161.94	888.45	1064.72	1163.57	1274.72	593.65	663.76	558.65	642.2
Filesize[kB] = 2048 Block size [kB] = 256	982.84	1178.17	1259.26	1363.43	535.46	580.77	560.02	627.22	553.97	603.65	1204.63	1290.51	538.02	567.36	1766.77	2311.04	1774.98	1868.21	978.13	1107.0	1205.72	1291.59	588.84	638.09	579.82	649.62
Filesize[kB] = 2048 Block size [kB] = 512	982.2	1164.32	1272.95	1379.27	552.83	557.08	569.73	593.52	596.91	806.62	1151.81	1213.55	540.18	580.96	1705.33	2272.9	1339.99	1294.18	990.51	1176.86	1253.88	1298.14	581.89	637.72	557.11	647.14
Filesize[kB] = 2048 Block size [kB] = 1024	976.48	1187.74	1337.53	1400.75	508.91	510.71	537.49	563.3	553.52	860.45	1060.78	1100.04	529.48	591.8	1590.84	1785.93	816.38	893.97	1165.73	1365.01	1387.88	1465.58	550.11	622.45	560.67	596.08
Filesize[kB] = 2048 Block size [kB] = 2048	964.37	1185.82	1394.3	1466.57	484.27	458.83	483.92	474.55	488.74	792.69	898.78	936.33	498.99	573.42	1416.27	1400.92	491.89	570.52	1038.16	1191.64	1398.44	1408.39	494.14	566.45	497.7	558.04
Filesize[kB] = 4096 Block size [kB] = 4	748.46	832.55	997.52	991.48	571.12	523.2	588.15	718.35	81.14	79.79	838.63	839.01	82.06	80.06	1383.25	1504.31	81.79	79.44	707.75	754.73	917.04	941.22	561.76	570.29	577.29	907.02
Filesize[kB] = 4096 Block size [kB] = 8	862.65	1008.77	1129.19	1157.34	628.74	550.75	646.47	757.4	129.59	123.58	1045.97	1057.41	130.62	129.13	1841.49	2335.13	128.09	128.48	803.17	923.25	1063.4	1108.75	624.69	638.89	628.8	960.25
Filesize[kB] = 4096 Block size [kB] = 16	917.18	1083.21	1238.01	1243.53	636.79	584.71	656.51	797.53	210.26	207.39	1147.13	1176.97	208.83	203.81	1900.7	2484.76	209.25	207.08	832.01	996.99	1098.85	1158.58	624.97	644.52	652.17	964.71
Filesize[kB] = 4096 Block size [kB] = 32	944.03	1143.79	1261.31	1359.17	641.66	618.61	669.88	805.37	323.28	326.24	1229.21	1309.74	325.29	322.05	2043.91	2866.63	325.78	325.16	886.84	1015.44	1182.27	1236.73	637.24	662.77	638.52	1017.94
Filesize[kB] = 4096 Block size [kB] = 64	991.01	1189.65	1329.38	1407.14	662.42	582.12	675.12	862.78	442.27	456.61	1285.72	1353.99	449.93	445.46	2212.57	2991.07	463.43	466.99	907.97	1025.93	1205.36	1241.09	640.65	674.31	637.73	978.15
Filesize[kB] = 4096 Block size [kB] = 128	988.04	1192.7	1328.46	1380.94	630.0	565.93	616.71	672.96	563.56	538.73	1266.55	1326.1	580.24	551.22	2127.3	2485.57	615.89	560.76	930.62	1042.51	1161.81	1169.88	619.42	622.78	614.34	977.31
Filesize[kB] = 4096 Block size [kB] = 256	985.85	1202.53	1324.24	1431.51	623.44	600.43	623.09	687.14	590.33	703.9	1235.85	1564.88	567.4	539.05	1954.81	3030.13	2389.63	2711.01	944.04	1275.52	1220.46	1476.34	605.41	603.25	606.76	913.73
Filesize[kB] = 4096 Block size [kB] = 512	991.76	1381.34	1335.01	1640.72	612.6	567.33	629.39	694.41	608.09	808.86	1220.1	1506.85	600.7	651.41	1908.4	2967.9	1803.11	2132.25	947.09	1240.7	1203.47	1400.29	597.83	599.87	593.89	894.97
Filesize[kB] = 4096 Block size [kB] = 1024	972.61	1378.13	1351.68	1599.81	607.79	563.88	611.85	661.37	672.87	937.82	1150.69	1346.28	622.87	644.81	1805.87	2390.05	1341.17	1372.75	1000.1	1146.75	1240.69	1311.45	587.21	550.46	578.1	915.31
Filesize[kB] = 4096 Block size [kB] = 2048	996.69	1191.51	1356.68	1435.95	568.98	524.95	570.26	559.76	557.03	919.75	1052.51	1130.38	546.68	560.53	1632.39	1901.51	847.2	858.88	1187.31	1287.72	1438.36	1500.19	552.15	547.91	557.07	918.06
Filesize[kB] = 4096 Block size [kB] = 4096	963.73	1125.29	1306.16	1354.32	468.57	456.15	471.36	455.36	525.02	822.2	878.41	906.86	521.71	515.49	1293.07	1340.85	507.51	524.35	985.8	1134.81	1301.64	1374.12	489.77	523.63	510.73	830.15
Filesize[kB] = 8192 Block size [kB] = 4	744.6	840.73	1012.75	998.14	743.99	575.49	742.13	944.54	82.47	80.01	848.43	841.42	83.3	80.18	1436.13	1650.25	82.9	81.18	708.29	768.13	941.31	928.02	710.95	709.29	733.08	947.96
Filesize[kB] = 8192 Block size [kB] = 8	866.27	1006.97	1161.1	1194.12	767.24	645.7	802.73	1021.06	124.66	128.1	1046.43	1054.55	138.17	127.07	1862.55	2460.74	131.44	127.61	815.44	924.66	1083.07	1122.77	777.25	799.12	776.4	1009.58
Filesize[kB] = 8192 Block size [kB] = 16	912.62	1084.07	1260.2	1303.48	795.22	660.09	802.34	1022.29	208.89	204.54	1165.52	1213.05	211.62	206.69	1964.0	2630.01	211.8	205.97	866.79	1002.54	1119.25	1181.22	780.81	791.16	797.38	1041.05
Filesize[kB] = 8192 Block size [kB] = 32	967.6	1146.91	1265.32	1360.89	812.4	692.85	826.64	1072.41	327.77	324.24	1261.84	1301.72	326.8	322.28	2237.7	2924.79	328.55	328.26	896.07	1046.72	1185.2	1249.91	791.85	806.2	805.68	1031.05
Filesize[kB] = 8192 Block size [kB] = 64	970.87	1194.22	1356.12	1405.72	816.88	698.95	835.97	1074.82	446.65	452.08	1295.69	1374.33	451.76	450.16	2183.09	3176.41	459.51	453.65	918.68	1064.26	1202.99	1254.76	778.0	773.22	786.08	1051.66
Filesize[kB] = 8192 Block size [kB] = 128	988.79	1195.13	1344.72	1397.98	653.49	629.41	656.39	681.55	548.17	545.05	1296.12	1385.33	535.08	540.12	2181.25	2992.46	559.07	546.29	930.75	1072.76	1207.86	1264.7	776.3	793.73	783.53	1019.83
Filesize[kB] = 8192 Block size [kB] = 256	998.63	1206.29	1339.61	1408.82	655.63	623.6	661.81	698.5	581.67	667.13	1325.56	1377.14	525.95	522.62	2090.27	2772.31	655.85	644.88	933.06	1092.49	1236.58	1279.5	762.92	770.72	777.32	1020.88
Filesize[kB] = 8192 Block size [kB] = 512	1003.48	1215.02	1342.82	1422.74	665.71	632.47	663.24	686.08	693.38	841.37	1299.4	1387.42	684.78	684.94	2068.19	2750.19	2375.11	2504.89	909.74	1043.16	1158.55	1214.39	740.12	693.22	784.11	1036.34
Filesize[kB] = 8192 Block size [kB] = 1024	993.61	1217.18	1366.13	1439.29	654.78	626.87	650.47	681.44	738.93	915.13	1283.81	1329.62	714.22	721.07	2041.57	2609.78	1956.22	1923.02	928.72	1060.19	1174.96	1204.32	726.71	740.04	754.48	1020.73
Filesize[kB] = 8192 Block size [kB] = 2048	1005.57	1200.07	1357.14	1400.95	622.26	614.52	631.04	627.74	769.24	966.63	1188.64	1249.73	709.64	716.21	1911.17	2306.93	1365.82	1375.77	998.56	1107.4	1226.4	1248.5	704.8	726.8	743.31	1000.41
Filesize[kB] = 8192 Block size [kB] = 4096	958.79	1131.06	1286.04	1304.56	560.16	534.97	565.69	560.58	693.1	903.3	1035.45	1044.3	690.05	676.17	1523.22	1676.9	868.84	865.85	1137.66	1242.75	1413.76	1435.81	687.07	688.68	689.89	923.28
Filesize[kB] = 8192 Block size [kB] = 8192	919.11	1061.58	1243.18	1248.66	446.77	454.01	451.61	458.11	649.27	846.23	841.19	846.76	658.02	648.14	1239.47	1258.92	657.53	644.84	930.75	1054.03	1244.67	1241.94	627.81	666.33	641.91	843.98
Filesize[kB] = 16384 Block size [kB] = 4	760.75	848.14	1016.4	997.3	855.71	735.73	858.37	973.13	81.91	78.74	850.35	851.26	83.52	80.03	1423.17	1672.88	83.22	81.95	713.94	773.31	946.39	948.12	837.49	833.63	837.92	976.01
Filesize[kB] = 16384 Block size [kB] = 8	873.63	1010.06	1183.2	1197.71	894.86	781.48	905.14	1035.73	134.94	127.12	1059.55	1085.72	136.77	132.08	1939.62	2451.56	136.72	137.64	816.88	933.11	1094.01	1112.03	874.93	889.62	884.91	1033.21
Filesize[kB] = 16384 Block size [kB] = 16	926.03	1103.24	1249.94	1292.62	913.5	820.62	926.48	1058.17	210.45	205.5	1170.62	1220.05	214.19	214.6	2081.25	2668.11	213.46	210.72	878.74	1008.78	1141.18	1199.7	902.53	913.28	915.91	1060.23
Filesize[kB] = 16384 Block size [kB] = 32	977.16	1165.98	1314.72	1363.42	938.91	850.98	947.31	1095.15	327.04	322.96	1281.51	1321.11	334.67	328.32	2233.78	2942.26	333.59	329.59	904.37	1041.37	1199.03	1249.9	911.52	924.24	923.95	1082.05
Filesize[kB] = 16384 Block size [kB] = 64	992.33	1199.21	1368.85	1407.47	934.29	831.95	953.67	1091.0	453.16	454.04	1335.06	1378.29	458.51	454.63	2398.07	3132.08	463.43	462.1	913.53	1075.24	1211.3	1262.65	908.36	938.92	914.27	1080.4
Filesize[kB] = 16384 Block size [kB] = 128	996.47	1204.05	1364.14	1401.81	670.63	666.61	668.57	702.98	526.69	530.31	1356.93	1391.61	541.94	522.14	2304.17	3053.47	539.34	521.8	917.94	1082.54	1228.11	1263.42	904.37	897.12	895.37	1067.4
Filesize[kB] = 16384 Block size [kB] = 256	1017.85	1210.19	1376.72	1401.56	680.91	675.26	687.46	712.0	644.67	713.18	1344.37	1393.66	523.71	532.45	2198.58	2789.65	603.0	646.02	936.69	1088.49	1225.19	1260.86	888.94	886.31	895.1	1058.81
Filesize[kB] = 16384 Block size [kB] = 512	1016.63	1223.25	1365.49	1435.86	682.5	674.83	692.92	716.07	759.19	837.61	1350.28	1403.06	722.46	714.78	2159.47	2813.34	666.95	661.16	904.06	1047.28	1160.23	1198.27	893.6	905.7	904.02	1064.32
Filesize[kB] = 16384 Block size [kB] = 1024	1007.69	1232.18	1386.78	1444.06	676.34	680.05	689.88	710.34	825.42	958.04	1330.51	1376.9	810.43	792.07	2128.47	2804.19	2440.6	2531.74	896.69	1023.23	1138.39	1174.33	853.07	872.79	901.87	1060.59
Filesize[kB] = 16384 Block size [kB] = 2048	1004.13	1217.29	1351.05	1419.19	670.75	667.63	682.24	690.19	849.28	979.75	1294.26	1335.59	832.49	836.06	2061.9	2608.03	1927.33	1970.6	908.7	1031.69	1150.26	1171.11	855.86	891.23	871.0	1042.07
Filesize[kB] = 16384 Block size [kB] = 4096	957.09	1125.7	1284.52	1289.54	627.85	628.22	634.71	622.1	832.62	979.08	1146.38	1163.28	835.06	815.1	1700.42	2000.15	1368.02	1337.04	965.34	1030.71	1203.25	1214.79	824.11	839.9	844.89	989.08
Filesize[kB] = 16384 Block size [kB] = 8192	922.46	1079.12	1217.03	1245.39	536.76	551.94	543.81	552.59	802.06	923.53	988.8	1007.23	798.06	787.15	1408.08	1510.18	1026.96	999.88	1102.51	1190.13	1358.68	1362.42	791.54	805.02	797.2	927.65
Filesize[kB] = 16384 Block size [kB] = 16384	922.07	1069.66	1237.86	1238.52	454.87	446.41	460.84	456.88	750.51	862.63	849.34	849.6	756.37	741.59	1242.49	1244.01	759.3	746.55	925.58	1065.3	1242.43	1245.31	744.02	746.95	751.85	860.56
Filesize[kB] = 32768 Block size [kB] = 64	1011.28	1209.69	1388.55	1416.59	1028.97	986.94	1030.48	1098.34	462.82	453.95	1354.94	1386.16	473.05	459.93	2429.21	3188.01	472.96	463.1	917.84	1073.67	1235.71	1274.57	996.72	1017.39	1014.18	1080.94
Filesize[kB] = 32768 Block size [kB] = 128	1005.28	1219.05	1385.04	1419.5	696.5	683.92	707.92	707.49	525.67	520.3	1367.91	1400.19	537.49	525.95	2352.42	3060.42	538.8	522.1	929.79	1077.94	1232.17	1262.96	996.28	1000.67	1004.33	1069.85
Filesize[kB] = 32768 Block size [kB] = 256	1000.53	1227.54	1382.71	1422.23	709.45	707.15	714.33	722.04	581.52	594.0	1369.96	1404.89	534.55	528.25	2207.3	2871.07	629.37	616.03	925.93	1067.64	1240.25	1271.66	989.03	977.56	999.99	1066.57
Filesize[kB] = 32768 Block size [kB] = 512	1023.68	1237.64	1398.07	1447.44	711.51	700.87	720.62	722.44	721.11	741.26	1386.94	1423.84	753.94	746.45	2216.86	2886.39	636.84	635.34	896.19	1038.64	1172.18	1192.95	993.82	987.13	999.28	1073.25
Filesize[kB] = 32768 Block size [kB] = 1024	1025.33	1235.96	1414.85	1444.39	710.89	704.24	713.33	721.49	895.61	936.22	1390.08	1409.55	870.39	864.38	2209.8	2851.21	976.13	968.08	878.59	1012.0	1134.43	1157.95	989.34	982.78	1000.08	1070.82
Filesize[kB] = 32768 Block size [kB] = 2048	1018.48	1220.82	1385.63	1424.17	701.09	702.57	705.82	712.05	926.31	1017.26	1344.33	1378.6	911.31	908.94	2159.64	2748.68	2493.81	2540.87	879.31	1002.83	1124.88	1140.64	976.86	976.09	984.53	1063.77
Filesize[kB] = 32768 Block size [kB] = 4096	960.25	1132.98	1282.66	1302.24	677.37	670.88	681.94	675.57	930.76	1000.25	1204.04	1225.15	919.78	897.78	1817.33	2213.84	1834.46	1838.09	889.36	1001.47	1122.27	1130.39	943.16	944.64	947.04	1016.48
Filesize[kB] = 32768 Block size [kB] = 8192	929.25	1086.49	1244.13	1228.24	620.49	618.94	627.17	625.07	911.69	969.86	1110.16	1109.98	915.87	884.56	1564.63	1754.57	1463.49	1402.33	949.06	1054.25	1186.59	1175.46	909.45	900.12	917.88	969.56
Filesize[kB] = 32768 Block size [kB] = 16384	926.5	1079.15	1240.79	1238.71	550.41	544.91	557.38	548.41	878.8	939.11	1008.46	1008.04	874.06	856.71	1424.18	1526.38	1150.76	1117.07	1100.74	1189.47	1361.24	1362.57	870.98	867.86	877.59	933.4
Filesize[kB] = 65536 Block size [kB] = 64	1011.75	1212.7	1392.67	1423.77	1060.44	1022.49	1073.59	1094.27	464.34	451.14	1364.4	1389.1	463.81	461.5	2446.5	3251.3	470.6	461.84	921.66	1082.57	1242.68	1269.79	1043.1	1039.93	1059.78	1078.61
Filesize[kB] = 65536 Block size [kB] = 128	1013.92	1216.56	1393.91	1423.06	697.86	701.36	711.36	714.08	531.54	520.13	1382.41	1408.88	524.17	527.08	2363.39	3137.27	533.15	524.64	913.26	1086.34	1238.94	1272.02	1030.06	1026.06	1043.05	1063.96
Filesize[kB] = 65536 Block size [kB] = 256	1021.23	1228.23	1396.41	1432.24	714.37	712.21	723.92	721.69	570.22	564.62	1384.34	1414.07	529.46	526.76	2241.52	2908.52	625.73	630.69	933.57	1090.88	1243.92	1268.81	1030.0	1023.62	1041.24	1063.35
Filesize[kB] = 65536 Block size [kB] = 512	1023.48	1229.03	1415.76	1446.41	720.85	719.34	729.17	726.69	601.72	609.54	1393.46	1430.61	763.78	761.06	2237.13	2930.45	634.01	636.48	890.57	1038.81	1175.58	1196.15	1038.55	1034.55	1050.79	1062.98
Filesize[kB] = 65536 Block size [kB] = 1024	1025.53	1235.7	1419.18	1451.79	723.53	715.77	728.67	725.28	757.12	783.28	1407.11	1427.62	888.61	888.22	2237.44	2930.2	900.59	888.51	871.3	1009.38	1134.0	1150.75	1042.5	1039.08	1051.03	1066.78
Filesize[kB] = 65536 Block size [kB] = 2048	1022.42	1228.76	1405.2	1436.9	718.37	714.12	724.8	721.1	932.59	950.6	1375.81	1409.32	942.23	947.02	2177.33	2853.3	1017.44	998.6	860.68	995.28	1112.45	1127.01	1032.67	1033.89	1040.65	1065.69
Filesize[kB] = 65536 Block size [kB] = 4096	951.89	1131.64	1281.03	1314.15	700.73	703.13	701.31	701.94	970.99	991.18	1256.16	1269.98	965.29	957.58	1869.08	2329.39	2257.84	2234.46	851.21	972.54	1091.44	1098.12	1004.2	1004.45	1018.51	1031.9
Filesize[kB] = 65536 Block size [kB] = 8192	934.79	1093.04	1243.82	1252.99	671.12	666.74	676.32	668.85	960.45	973.26	1172.19	1176.75	966.44	947.19	1642.61	1907.82	1845.53	1769.04	876.01	993.59	1114.39	1112.8	974.95	974.57	987.6	990.11
Filesize[kB] = 65536 Block size [kB] = 16384	934.83	1098.15	1245.64	1247.54	624.29	623.99	629.11	622.58	960.89	963.05	1107.44	1119.42	948.82	935.37	1565.21	1761.73	1576.77	1519.28	954.88	1069.31	1188.8	1186.31	957.5	948.01	963.05	967.95
